Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
16.07.2022 22:00 - 16.07.2022 23:00;-1535;339;2427;2175
16.07.2022 23:00 - 17.07.2022 00:00;-1697;342;2424;2138
17.07.2022 00:00 - 17.07.2022 01:00;-1774;335;1590;2000
17.07.2022 01:00 - 17.07.2022 02:00;-1747;334;1354;1906
17.07.2022 02:00 - 17.07.2022 03:00;-1669;324;1113;1879
17.07.2022 03:00 - 17.07.2022 04:00;-1624;321;704;1867
17.07.2022 04:00 - 17.07.2022 05:00;-1859;318;711;1820
17.07.2022 05:00 - 17.07.2022 06:00;-1709;321;884;1776
17.07.2022 06:00 - 17.07.2022 07:00;-1657;319;778;1788
17.07.2022 07:00 - 17.07.2022 08:00;-1669;310;738;1830
17.07.2022 08:00 - 17.07.2022 09:00;-1554;305;572;1919
17.07.2022 09:00 - 17.07.2022 10:00;-1271;308;538;2043
17.07.2022 10:00 - 17.07.2022 11:00;-1396;310;477;2143
17.07.2022 11:00 - 17.07.2022 12:00;-1687;305;391;2204
17.07.2022 12:00 - 17.07.2022 13:00;-1767;298;383;2256
17.07.2022 13:00 - 17.07.2022 14:00;-1820;299;380;2290
17.07.2022 14:00 - 17.07.2022 15:00;-1926;295;375;2325
17.07.2022 15:00 - 17.07.2022 16:00;-1845;292;494;2317
17.07.2022 16:00 - 17.07.2022 17:00;-1474;283;687;2316
17.07.2022 17:00 - 17.07.2022 18:00;-1335;283;1346;2300
17.07.2022 18:00 - 17.07.2022 19:00;-1368;295;2043;2311
17.07.2022 19:00 - 17.07.2022 20:00;-1599;315;3205;2290
17.07.2022 20:00 - 17.07.2022 21:00;-1426;317;4126;2294
17.07.2022 21:00 - 17.07.2022 22:00;-1401;334;4166;2298
17.07.2022 22:00 - 17.07.2022 23:00;-1490;343;4101;2329
17.07.2022 23:00 - 18.07.2022 00:00;-1370;347;3740;2217
18.07.2022 00:00 - 18.07.2022 01:00;-1483;329;3037;2063
18.07.2022 01:00 - 18.07.2022 02:00;-1598;330;2536;2008
18.07.2022 02:00 - 18.07.2022 03:00;-1631;334;2056;1929
18.07.2022 03:00 - 18.07.2022 04:00;-1580;338;1770;1857
18.07.2022 04:00 - 18.07.2022 05:00;-1581;338;1831;1826
18.07.2022 05:00 - 18.07.2022 06:00;-1569;330;2353;1876
18.07.2022 06:00 - 18.07.2022 07:00;-1566;329;3103;2036
18.07.2022 07:00 - 18.07.2022 08:00;-1470;358;3673;2274
18.07.2022 08:00 - 18.07.2022 09:00;-1348;395;4377;2411
18.07.2022 09:00 - 18.07.2022 10:00;-1319;402;4471;2484
18.07.2022 10:00 - 18.07.2022 11:00;-1401;402;3832;2569
18.07.2022 11:00 - 18.07.2022 12:00;-1203;397;2766;2594
18.07.2022 12:00 - 18.07.2022 13:00;-1037;395;2309;2600
18.07.2022 13:00 - 18.07.2022 14:00;-1119;394;2124;2620
18.07.2022 14:00 - 18.07.2022 15:00;-1244;392;2220;2617
18.07.2022 15:00 - 18.07.2022 16:00;-1344;390;2956;2575
18.07.2022 16:00 - 18.07.2022 17:00;-1369;383;3980;2565
18.07.2022 17:00 - 18.07.2022 18:00;-1341;384;4984;2539
18.07.2022 18:00 - 18.07.2022 19:00;-1347;384;5422;2486
18.07.2022 19:00 - 18.07.2022 20:00;-1291;388;5544;2550
18.07.2022 20:00 - 18.07.2022 21:00;-1331;392;5348;2377
18.07.2022 21:00 - 18.07.2022 22:00;-1326;386;5342;2276
18.07.2022 22:00 - 18.07.2022 23:00;-1346;371;5330;2254
18.07.2022 23:00 - 19.07.2022 00:00;-1484;368;5213;2147
19.07.2022 00:00 - 19.07.2022 01:00;-1538;366;4667;1997
19.07.2022 01:00 - 19.07.2022 02:00;-1639;357;4044;1880
19.07.2022 02:00 - 19.07.2022 03:00;-1679;354;3134;1802
19.07.2022 03:00 - 19.07.2022 04:00;-1695;350;2538;1811
19.07.2022 04:00 - 19.07.2022 05:00;-1800;341;2360;1747
19.07.2022 05:00 - 19.07.2022 06:00;-1753;337;2548;1771
19.07.2022 06:00 - 19.07.2022 07:00;-1798;341;2577;1912
19.07.2022 07:00 - 19.07.2022 08:00;-1299;347;3385;2118
19.07.2022 08:00 - 19.07.2022 09:00;-1230;354;3916;2290
19.07.2022 09:00 - 19.07.2022 10:00;-1227;356;4440;2393
19.07.2022 10:00 - 19.07.2022 11:00;-1127;358;4480;2448
19.07.2022 11:00 - 19.07.2022 12:00;-1124;353;4131;2458
19.07.2022 12:00 - 19.07.2022 13:00;-1124;334;3956;2447
19.07.2022 13:00 - 19.07.2022 14:00;-1119;336;3396;2433
19.07.2022 14:00 - 19.07.2022 15:00;-1142;332;3066;2436
19.07.2022 15:00 - 19.07.2022 16:00;-1040;325;3361;2453
19.07.2022 16:00 - 19.07.2022 17:00;-1147;313;3760;2508
19.07.2022 17:00 - 19.07.2022 18:00;-971;339;4302;2425
19.07.2022 18:00 - 19.07.2022 19:00;-917;334;4605;2431
19.07.2022 19:00 - 19.07.2022 20:00;-928;338;4924;2419
19.07.2022 20:00 - 19.07.2022 21:00;-1091;340;4866;2369
19.07.2022 21:00 - 19.07.2022 22:00;-949;336;4278;2308
19.07.2022 22:00 - 19.07.2022 23:00;-1180;338;3039;2249
19.07.2022 23:00 - 20.07.2022 00:00;-1334;327;1900;2146
20.07.2022 00:00 - 20.07.2022 01:00;-1429;320;1377;2002
20.07.2022 01:00 - 20.07.2022 02:00;-1662;316;1171;1838
20.07.2022 02:00 - 20.07.2022 03:00;-1518;313;817;1724
20.07.2022 03:00 - 20.07.2022 04:00;-1592;307;707;1707
20.07.2022 04:00 - 20.07.2022 05:00;-1337;300;711;1705
20.07.2022 05:00 - 20.07.2022 06:00;-1381;303;731;1725
20.07.2022 06:00 - 20.07.2022 07:00;-1467;299;1100;1907
20.07.2022 07:00 - 20.07.2022 08:00;-1326;297;1831;2099
20.07.2022 08:00 - 20.07.2022 09:00;-1246;290;2467;2347
20.07.2022 09:00 - 20.07.2022 10:00;-1139;284;2273;2467
20.07.2022 10:00 - 20.07.2022 11:00;-1243;288;1963;2684
20.07.2022 11:00 - 20.07.2022 12:00;-1227;293;1492;2681
20.07.2022 12:00 - 20.07.2022 13:00;-1167;301;1282;2578
20.07.2022 13:00 - 20.07.2022 14:00;-938;299;1314;2576
20.07.2022 14:00 - 20.07.2022 15:00;-921;297;1272;2599
20.07.2022 15:00 - 20.07.2022 16:00;-1105;294;1581;2614
20.07.2022 16:00 - 20.07.2022 17:00;-1254;305;2121;2612
20.07.2022 17:00 - 20.07.2022 18:00;-1026;342;3448;1825
20.07.2022 18:00 - 20.07.2022 19:00;-583;358;4441;1895
20.07.2022 19:00 - 20.07.2022 20:00;-578;368;5217;1832
20.07.2022 20:00 - 20.07.2022 21:00;-860;388;4918;1832
20.07.2022 21:00 - 20.07.2022 22:00;-962;384;4798;1759
20.07.2022 22:00 - 20.07.2022 23:00;-1203;385;3879;1752
20.07.2022 23:00 - 21.07.2022 00:00;-1120;385;2762;1695
21.07.2022 00:00 - 21.07.2022 01:00;-1335;356;2246;2016
21.07.2022 01:00 - 21.07.2022 02:00;-1532;348;2255;1935
21.07.2022 02:00 - 21.07.2022 03:00;-1590;341;2241;1871
21.07.2022 03:00 - 21.07.2022 04:00;-1529;344;2171;1876
21.07.2022 04:00 - 21.07.2022 05:00;-1427;338;1997;1822
21.07.2022 05:00 - 21.07.2022 06:00;-1590;336;1880;1806
21.07.2022 06:00 - 21.07.2022 07:00;-1698;336;2327;1983
21.07.2022 07:00 - 21.07.2022 08:00;-1595;328;2964;2214
21.07.2022 08:00 - 21.07.2022 09:00;-1190;336;4043;2406
21.07.2022 09:00 - 21.07.2022 10:00;-1113;342;4632;2500
21.07.2022 10:00 - 21.07.2022 11:00;-1122;359;4926;2572
21.07.2022 11:00 - 21.07.2022 12:00;-1180;354;4720;2609
21.07.2022 12:00 - 21.07.2022 13:00;-752;349;4274;2625
21.07.2022 13:00 - 21.07.2022 14:00;-874;348;2995;2613
21.07.2022 14:00 - 21.07.2022 15:00;-1150;339;2139;2596
21.07.2022 15:00 - 21.07.2022 16:00;-1345;335;2084;2604
21.07.2022 16:00 - 21.07.2022 17:00;-1398;344;2698;2621
21.07.2022 17:00 - 21.07.2022 18:00;-1217;367;3791;2573
21.07.2022 18:00 - 21.07.2022 19:00;-918;374;4158;2541
21.07.2022 19:00 - 21.07.2022 20:00;-1012;366;4631;2487
21.07.2022 20:00 - 21.07.2022 21:00;-1091;361;4515;2398
21.07.2022 21:00 - 21.07.2022 22:00;-1221;365;4399;2313
21.07.2022 22:00 - 21.07.2022 23:00;-1114;362;4390;2324
21.07.2022 23:00 - 22.07.2022 00:00;-1159;363;4003;2219
22.07.2022 00:00 - 22.07.2022 01:00;-1448;347;3253;2021
22.07.2022 01:00 - 22.07.2022 02:00;-1666;342;2387;1876
22.07.2022 02:00 - 22.07.2022 03:00;-1582;341;1817;1816
22.07.2022 03:00 - 22.07.2022 04:00;-1720;343;1531;1808
22.07.2022 04:00 - 22.07.2022 05:00;-1601;331;1205;1795
22.07.2022 05:00 - 22.07.2022 06:00;-1590;327;1520;1782
22.07.2022 06:00 - 22.07.2022 07:00;-1570;328;2501;1929
22.07.2022 07:00 - 22.07.2022 08:00;-1429;333;3307;2114
22.07.2022 08:00 - 22.07.2022 09:00;-1345;358;3494;2250
22.07.2022 09:00 - 22.07.2022 10:00;-1163;362;3600;2396
22.07.2022 10:00 - 22.07.2022 11:00;-1038;343;3783;2475
22.07.2022 11:00 - 22.07.2022 12:00;-1032;319;2935;2589
22.07.2022 12:00 - 22.07.2022 13:00;-1101;321;2455;2593
22.07.2022 13:00 - 22.07.2022 14:00;-1155;319;1829;2640
22.07.2022 14:00 - 22.07.2022 15:00;-1032;313;1830;2559
22.07.2022 15:00 - 22.07.2022 16:00;-1084;300;2058;2419
22.07.2022 16:00 - 22.07.2022 17:00;-1092;279;2535;2494
22.07.2022 17:00 - 22.07.2022 18:00;-1020;300;3759;2447
22.07.2022 18:00 - 22.07.2022 19:00;-1097;309;4306;2412
22.07.2022 19:00 - 22.07.2022 20:00;-1218;325;5008;2413
22.07.2022 20:00 - 22.07.2022 21:00;-1251;332;5286;2355
22.07.2022 21:00 - 22.07.2022 22:00;-1278;335;5298;2310
22.07.2022 22:00 - 22.07.2022 23:00;-1401;336;5210;2287
22.07.2022 23:00 - 23.07.2022 00:00;-1514;339;4929;2207
23.07.2022 00:00 - 23.07.2022 01:00;-1761;318;4128;2082
23.07.2022 01:00 - 23.07.2022 02:00;-1797;309;3568;2004
23.07.2022 02:00 - 23.07.2022 03:00;-1873;300;3194;1916
23.07.2022 03:00 - 23.07.2022 04:00;-1943;305;3047;1868
23.07.2022 04:00 - 23.07.2022 05:00;-1947;297;2438;1808
23.07.2022 05:00 - 23.07.2022 06:00;-1783;289;2468;1800
23.07.2022 06:00 - 23.07.2022 07:00;-1793;312;2971;1833
23.07.2022 07:00 - 23.07.2022 08:00;-1343;313;2835;1891
23.07.2022 08:00 - 23.07.2022 09:00;-1254;313;3092;2013
23.07.2022 09:00 - 23.07.2022 10:00;-817;289;3051;2140
23.07.2022 10:00 - 23.07.2022 11:00;-824;283;2633;2245
23.07.2022 11:00 - 23.07.2022 12:00;-1055;283;2085;2272
23.07.2022 12:00 - 23.07.2022 13:00;-1101;283;1654;2274
23.07.2022 13:00 - 23.07.2022 14:00;-892;282;1246;2247
23.07.2022 14:00 - 23.07.2022 15:00;-978;287;713;2239
23.07.2022 15:00 - 23.07.2022 16:00;-858;273;726;2243
23.07.2022 16:00 - 23.07.2022 17:00;-1122;265;1246;2249
23.07.2022 17:00 - 23.07.2022 18:00;-1062;269;1918;2260
23.07.2022 18:00 - 23.07.2022 19:00;-1149;284;2890;2258
23.07.2022 19:00 - 23.07.2022 20:00;-1269;294;3759;2229
23.07.2022 20:00 - 23.07.2022 21:00;-1277;296;3848;2158
23.07.2022 21:00 - 23.07.2022 22:00;-1295;306;3376;2128
23.07.2022 22:00 - 23.07.2022 23:00;-1384;309;2883;2118
23.07.2022 23:00 - 24.07.2022 00:00;-1567;308;2610;2060
24.07.2022 00:00 - 24.07.2022 01:00;-1462;302;2835;1946
24.07.2022 01:00 - 24.07.2022 02:00;-1498;302;2652;1856
24.07.2022 02:00 - 24.07.2022 03:00;-1660;304;1849;1817
24.07.2022 03:00 - 24.07.2022 04:00;-1731;282;1507;1769
24.07.2022 04:00 - 24.07.2022 05:00;-1630;281;1471;1721
24.07.2022 05:00 - 24.07.2022 06:00;-1529;275;1221;1693
24.07.2022 06:00 - 24.07.2022 07:00;-1580;269;858;1700
24.07.2022 07:00 - 24.07.2022 08:00;-1500;263;800;1743
24.07.2022 08:00 - 24.07.2022 09:00;-1421;256;744;1843
24.07.2022 09:00 - 24.07.2022 10:00;-1360;260;573;1982
24.07.2022 10:00 - 24.07.2022 11:00;-1405;261;667;2130
24.07.2022 11:00 - 24.07.2022 12:00;-1419;251;295;2204
24.07.2022 12:00 - 24.07.2022 13:00;-1338;250;261;2241
24.07.2022 13:00 - 24.07.2022 14:00;-1254;248;257;2275
24.07.2022 14:00 - 24.07.2022 15:00;-1438;253;269;2306
24.07.2022 15:00 - 24.07.2022 16:00;-1689;255;300;2338
24.07.2022 16:00 - 24.07.2022 17:00;-1610;255;597;2343
24.07.2022 17:00 - 24.07.2022 18:00;-1490;266;1272;2338
24.07.2022 18:00 - 24.07.2022 19:00;-1210;283;1932;2369
24.07.2022 19:00 - 24.07.2022 20:00;-1363;318;3140;2337
24.07.2022 20:00 - 24.07.2022 21:00;-1266;315;3680;2270
24.07.2022 21:00 - 24.07.2022 22:00;-1425;331;3648;2266
24.07.2022 22:00 - 24.07.2022 23:00;-1721;340;3493;2251
24.07.2022 23:00 - 25.07.2022 00:00;-1620;340;2506;2152
25.07.2022 00:00 - 25.07.2022 01:00;-1827;321;1606;2071
25.07.2022 01:00 - 25.07.2022 02:00;-1735;315;843;1964
25.07.2022 02:00 - 25.07.2022 03:00;-1472;309;564;1881
25.07.2022 03:00 - 25.07.2022 04:00;-1426;304;492;1869
25.07.2022 04:00 - 25.07.2022 05:00;-1564;302;395;1840
25.07.2022 05:00 - 25.07.2022 06:00;-1536;304;563;1855
25.07.2022 06:00 - 25.07.2022 07:00;-1418;327;995;2012
25.07.2022 07:00 - 25.07.2022 08:00;-1542;338;1513;2193
25.07.2022 08:00 - 25.07.2022 09:00;-1484;344;2317;2386
25.07.2022 09:00 - 25.07.2022 10:00;-1165;342;2152;2479
25.07.2022 10:00 - 25.07.2022 11:00;-1063;335;2082;2599
25.07.2022 11:00 - 25.07.2022 12:00;-985;346;1790;2659
25.07.2022 12:00 - 25.07.2022 13:00;-983;361;1506;2638
25.07.2022 13:00 - 25.07.2022 14:00;-878;360;1300;2602
25.07.2022 14:00 - 25.07.2022 15:00;-871;357;1147;2586
25.07.2022 15:00 - 25.07.2022 16:00;-913;357;927;2533
25.07.2022 16:00 - 25.07.2022 17:00;-992;359;1219;2542
25.07.2022 17:00 - 25.07.2022 18:00;-1144;366;1752;2501
25.07.2022 18:00 - 25.07.2022 19:00;-1160;387;2149;2463
25.07.2022 19:00 - 25.07.2022 20:00;-1537;393;1988;2436
25.07.2022 20:00 - 25.07.2022 21:00;-1632;398;1992;2381
25.07.2022 21:00 - 25.07.2022 22:00;-1447;404;1925;2308
25.07.2022 22:00 - 25.07.2022 23:00;-1448;414;2050;2287
25.07.2022 23:00 - 26.07.2022 00:00;-1469;414;1670;2157
26.07.2022 00:00 - 26.07.2022 01:00;-1599;390;1301;2039
26.07.2022 01:00 - 26.07.2022 02:00;-1750;381;644;1960
26.07.2022 02:00 - 26.07.2022 03:00;-1776;381;761;1883
26.07.2022 03:00 - 26.07.2022 04:00;-1578;378;848;1849
26.07.2022 04:00 - 26.07.2022 05:00;-1436;371;1029;1796
26.07.2022 05:00 - 26.07.2022 06:00;-1593;371;768;1817
26.07.2022 06:00 - 26.07.2022 07:00;-1657;379;858;1957
26.07.2022 07:00 - 26.07.2022 08:00;-1503;377;1100;2141
26.07.2022 08:00 - 26.07.2022 09:00;-1468;383;1219;2303
26.07.2022 09:00 - 26.07.2022 10:00;-1441;379;1267;2415
26.07.2022 10:00 - 26.07.2022 11:00;-1341;379;1194;2468
26.07.2022 11:00 - 26.07.2022 12:00;-1683;381;1011;2488
26.07.2022 12:00 - 26.07.2022 13:00;-1688;380;1085;2523
26.07.2022 13:00 - 26.07.2022 14:00;-1848;381;844;2549
26.07.2022 14:00 - 26.07.2022 15:00;-1829;376;750;2556
26.07.2022 15:00 - 26.07.2022 16:00;-1909;370;743;2549
26.07.2022 16:00 - 26.07.2022 17:00;-1900;374;726;2584
26.07.2022 17:00 - 26.07.2022 18:00;-1596;379;1012;2531
26.07.2022 18:00 - 26.07.2022 19:00;-1529;379;1064;2486
26.07.2022 19:00 - 26.07.2022 20:00;-1385;381;1277;2454
26.07.2022 20:00 - 26.07.2022 21:00;-1403;379;1190;2373
26.07.2022 21:00 - 26.07.2022 22:00;-1417;379;1222;2294
26.07.2022 22:00 - 26.07.2022 23:00;-1433;376;1168;2311
26.07.2022 23:00 - 27.07.2022 00:00;-1444;374;1066;2188
27.07.2022 00:00 - 27.07.2022 01:00;-1721;386;1008;2104
27.07.2022 01:00 - 27.07.2022 02:00;-1858;389;822;2021
27.07.2022 02:00 - 27.07.2022 03:00;-1946;382;736;1943
27.07.2022 03:00 - 27.07.2022 04:00;-1886;379;721;1896
27.07.2022 04:00 - 27.07.2022 05:00;-1904;370;720;1882
27.07.2022 05:00 - 27.07.2022 06:00;-1870;369;866;1896
27.07.2022 06:00 - 27.07.2022 07:00;-1778;378;1163;2055
27.07.2022 07:00 - 27.07.2022 08:00;-1639;394;1444;2231
27.07.2022 08:00 - 27.07.2022 09:00;-1576;398;1577;2378
27.07.2022 09:00 - 27.07.2022 10:00;-1437;387;1634;2449
27.07.2022 10:00 - 27.07.2022 11:00;-1323;381;1804;2540
27.07.2022 11:00 - 27.07.2022 12:00;-1433;393;1551;2560
27.07.2022 12:00 - 27.07.2022 13:00;-1383;363;1421;2559
27.07.2022 13:00 - 27.07.2022 14:00;-1456;362;1407;2547
27.07.2022 14:00 - 27.07.2022 15:00;-1363;360;1496;2549
27.07.2022 15:00 - 27.07.2022 16:00;-1386;352;1408;2537
27.07.2022 16:00 - 27.07.2022 17:00;-1171;363;1552;2513
27.07.2022 17:00 - 27.07.2022 18:00;-1049;361;1922;2494
27.07.2022 18:00 - 27.07.2022 19:00;-1152;360;2223;2464
27.07.2022 19:00 - 27.07.2022 20:00;-1336;365;2968;2444
27.07.2022 20:00 - 27.07.2022 21:00;-1382;371;3500;2456
27.07.2022 21:00 - 27.07.2022 22:00;-1425;384;3938;2371
27.07.2022 22:00 - 27.07.2022 23:00;-1486;384;4155;2327
27.07.2022 23:00 - 28.07.2022 00:00;-1511;384;3168;2243
28.07.2022 00:00 - 28.07.2022 01:00;-1600;370;2522;2090
28.07.2022 01:00 - 28.07.2022 02:00;-1789;356;1572;2009
28.07.2022 02:00 - 28.07.2022 03:00;-1719;344;1664;1945
28.07.2022 03:00 - 28.07.2022 04:00;-1890;335;1720;1892
28.07.2022 04:00 - 28.07.2022 05:00;-1822;326;1716;1845
28.07.2022 05:00 - 28.07.2022 06:00;-1857;320;2000;1856
28.07.2022 06:00 - 28.07.2022 07:00;-1556;322;2795;1998
28.07.2022 07:00 - 28.07.2022 08:00;-1427;346;3034;2210
28.07.2022 08:00 - 28.07.2022 09:00;-1333;354;3204;2357
28.07.2022 09:00 - 28.07.2022 10:00;-1160;364;3162;2454
28.07.2022 10:00 - 28.07.2022 11:00;-1255;363;2912;2507
28.07.2022 11:00 - 28.07.2022 12:00;-1443;355;2236;2508
28.07.2022 12:00 - 28.07.2022 13:00;-1609;355;1901;2492
28.07.2022 13:00 - 28.07.2022 14:00;-1818;348;1609;2474
28.07.2022 14:00 - 28.07.2022 15:00;-1932;348;1656;2486
28.07.2022 15:00 - 28.07.2022 16:00;-1874;339;1754;2459
28.07.2022 16:00 - 28.07.2022 17:00;-1484;335;2478;2440
28.07.2022 17:00 - 28.07.2022 18:00;-1212;332;3829;2433
28.07.2022 18:00 - 28.07.2022 19:00;-1272;333;4642;2406
28.07.2022 19:00 - 28.07.2022 20:00;-1355;342;4947;2402
28.07.2022 20:00 - 28.07.2022 21:00;-1290;348;5094;2366
28.07.2022 21:00 - 28.07.2022 22:00;-1303;351;4736;2317
28.07.2022 22:00 - 28.07.2022 23:00;-1360;347;4247;2341
28.07.2022 23:00 - 29.07.2022 00:00;-1399;352;3208;2255
29.07.2022 00:00 - 29.07.2022 01:00;-1468;323;2173;2112
29.07.2022 01:00 - 29.07.2022 02:00;-1495;314;1593;2005
29.07.2022 02:00 - 29.07.2022 03:00;-1552;312;1549;1938
29.07.2022 03:00 - 29.07.2022 04:00;-1545;306;1584;1907
29.07.2022 04:00 - 29.07.2022 05:00;-1525;300;1545;1902
29.07.2022 05:00 - 29.07.2022 06:00;-1447;289;1786;1892
29.07.2022 06:00 - 29.07.2022 07:00;-1481;283;2614;2023
29.07.2022 07:00 - 29.07.2022 08:00;-1431;307;3211;2174
29.07.2022 08:00 - 29.07.2022 09:00;-1499;326;3672;2308
29.07.2022 09:00 - 29.07.2022 10:00;-1480;331;3725;2417
29.07.2022 10:00 - 29.07.2022 11:00;-1611;329;2774;2473
29.07.2022 11:00 - 29.07.2022 12:00;-1772;304;2448;2509
29.07.2022 12:00 - 29.07.2022 13:00;-1716;296;2083;2523
29.07.2022 13:00 - 29.07.2022 14:00;-1628;295;1766;2525
29.07.2022 14:00 - 29.07.2022 15:00;-1456;297;1522;2503
29.07.2022 15:00 - 29.07.2022 16:00;-1502;292;1761;2488
29.07.2022 16:00 - 29.07.2022 17:00;-1327;286;2385;2449
29.07.2022 17:00 - 29.07.2022 18:00;-1280;304;3257;2427
29.07.2022 18:00 - 29.07.2022 19:00;-1303;314;4130;2426
29.07.2022 19:00 - 29.07.2022 20:00;-1365;315;4202;2406
29.07.2022 20:00 - 29.07.2022 21:00;-1396;323;4179;2346
29.07.2022 21:00 - 29.07.2022 22:00;-1422;323;3932;2282
29.07.2022 22:00 - 29.07.2022 23:00;-1427;324;3264;2234
29.07.2022 23:00 - 30.07.2022 00:00;-1544;324;2498;2124
30.07.2022 00:00 - 30.07.2022 01:00;-1683;300;1700;1988
30.07.2022 01:00 - 30.07.2022 02:00;-1708;294;1388;1928
30.07.2022 02:00 - 30.07.2022 03:00;-1674;287;1422;1866
30.07.2022 03:00 - 30.07.2022 04:00;-1638;285;1416;1818
30.07.2022 04:00 - 30.07.2022 05:00;-1625;282;1314;1804
30.07.2022 05:00 - 30.07.2022 06:00;-1685;274;1288;1763
30.07.2022 06:00 - 30.07.2022 07:00;-1676;274;1362;1804
30.07.2022 07:00 - 30.07.2022 08:00;-1592;274;1574;1865
30.07.2022 08:00 - 30.07.2022 09:00;-1682;269;1535;1971
30.07.2022 09:00 - 30.07.2022 10:00;-1620;270;1389;2102
30.07.2022 10:00 - 30.07.2022 11:00;-1699;260;1298;2228
30.07.2022 11:00 - 30.07.2022 12:00;-1647;260;1040;2383
30.07.2022 12:00 - 30.07.2022 13:00;-1350;265;875;2358
30.07.2022 13:00 - 30.07.2022 14:00;-1198;266;743;2347
30.07.2022 14:00 - 30.07.2022 15:00;-1342;267;765;2271
30.07.2022 15:00 - 30.07.2022 16:00;-1437;263;877;2223
30.07.2022 16:00 - 30.07.2022 17:00;-1391;260;1076;2235
30.07.2022 17:00 - 30.07.2022 18:00;-1299;258;1246;2256
30.07.2022 18:00 - 30.07.2022 19:00;-1342;276;1800;2218
30.07.2022 19:00 - 30.07.2022 20:00;-1289;277;2718;2195
30.07.2022 20:00 - 30.07.2022 21:00;-1404;292;3580;2225
30.07.2022 21:00 - 30.07.2022 22:00;-1440;301;3407;2181
30.07.2022 22:00 - 30.07.2022 23:00;-1574;319;3228;2174
30.07.2022 23:00 - 31.07.2022 00:00;-1540;320;2228;2119
31.07.2022 00:00 - 31.07.2022 01:00;-1758;293;1104;2028
31.07.2022 01:00 - 31.07.2022 02:00;-1726;288;889;1943
31.07.2022 02:00 - 31.07.2022 03:00;-1763;271;767;1847
31.07.2022 03:00 - 31.07.2022 04:00;-1704;269;713;1801
31.07.2022 04:00 - 31.07.2022 05:00;-1722;262;664;1798
31.07.2022 05:00 - 31.07.2022 06:00;-1860;256;686;1743
31.07.2022 06:00 - 31.07.2022 07:00;-1873;265;698;1753
31.07.2022 07:00 - 31.07.2022 08:00;-1679;264;802;1818
31.07.2022 08:00 - 31.07.2022 09:00;-1683;268;896;1930
31.07.2022 09:00 - 31.07.2022 10:00;-1605;271;886;2051
31.07.2022 10:00 - 31.07.2022 11:00;-1662;273;784;2177
31.07.2022 11:00 - 31.07.2022 12:00;-1535;270;786;2208
31.07.2022 12:00 - 31.07.2022 13:00;-1373;271;778;2247
31.07.2022 13:00 - 31.07.2022 14:00;-1352;273;468;2291
31.07.2022 14:00 - 31.07.2022 15:00;-1588;279;344;2337
31.07.2022 15:00 - 31.07.2022 16:00;-1465;282;379;2397
31.07.2022 16:00 - 31.07.2022 17:00;-1250;282;663;2390
31.07.2022 17:00 - 31.07.2022 18:00;-1374;289;1094;2436
31.07.2022 18:00 - 31.07.2022 19:00;-1413;288;1736;2467
31.07.2022 19:00 - 31.07.2022 20:00;-1512;300;2395;2449
31.07.2022 20:00 - 31.07.2022 21:00;-1407;291;2412;2328
31.07.2022 21:00 - 31.07.2022 22:00;-1400;310;2784;2359
31.07.2022 22:00 - 31.07.2022 23:00;-1404;312;2814;2311
31.07.2022 23:00 - 01.08.2022 00:00;-1543;316;1922;2227
01.08.2022 00:00 - 01.08.2022 01:00;-1674;293;1321;2076
01.08.2022 01:00 - 01.08.2022 02:00;-1480;286;909;1981
01.08.2022 02:00 - 01.08.2022 03:00;-1490;280;1124;1963
01.08.2022 03:00 - 01.08.2022 04:00;-1490;275;1103;1904
01.08.2022 04:00 - 01.08.2022 05:00;-1504;285;1146;1945
01.08.2022 05:00 - 01.08.2022 06:00;-1516;276;1606;1945
01.08.2022 06:00 - 01.08.2022 07:00;-1671;302;2159;2169
01.08.2022 07:00 - 01.08.2022 08:00;-1372;306;2566;2430
01.08.2022 08:00 - 01.08.2022 09:00;-1264;311;2747;2549
01.08.2022 09:00 - 01.08.2022 10:00;-1038;326;2722;2690
01.08.2022 10:00 - 01.08.2022 11:00;-1123;317;2320;2698
01.08.2022 11:00 - 01.08.2022 12:00;-932;298;1825;2715
01.08.2022 12:00 - 01.08.2022 13:00;-1120;291;1694;2736
01.08.2022 13:00 - 01.08.2022 14:00;-1373;283;1405;2688
01.08.2022 14:00 - 01.08.2022 15:00;-1120;277;1037;2685
01.08.2022 15:00 - 01.08.2022 16:00;-1320;273;1005;2729
01.08.2022 16:00 - 01.08.2022 17:00;-1332;270;1241;2732
01.08.2022 17:00 - 01.08.2022 18:00;-1757;286;1575;2658
01.08.2022 18:00 - 01.08.2022 19:00;-1756;288;2304;2613
01.08.2022 19:00 - 01.08.2022 20:00;-1545;286;3138;2577
01.08.2022 20:00 - 01.08.2022 21:00;-1673;302;3150;2557
01.08.2022 21:00 - 01.08.2022 22:00;-1430;316;3103;2510
01.08.2022 22:00 - 01.08.2022 23:00;-1596;316;2829;2457
01.08.2022 23:00 - 02.08.2022 00:00;-1761;314;2484;2288
02.08.2022 00:00 - 02.08.2022 01:00;-1966;315;2289;2118
02.08.2022 01:00 - 02.08.2022 02:00;-1799;311;1964;1989
02.08.2022 02:00 - 02.08.2022 03:00;-2003;303;1923;1894
02.08.2022 03:00 - 02.08.2022 04:00;-1937;295;1744;1888
