Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
08.01.2022 09:00 - 08.01.2022 10:00;853;693;7275;5687
08.01.2022 10:00 - 08.01.2022 11:00;1001;688;7589;5896
08.01.2022 11:00 - 08.01.2022 12:00;1059;691;7713;5931
08.01.2022 12:00 - 08.01.2022 13:00;1074;689;7676;5878
08.01.2022 13:00 - 08.01.2022 14:00;1195;692;7439;5833
08.01.2022 14:00 - 08.01.2022 15:00;1184;687;7565;5822
08.01.2022 15:00 - 08.01.2022 16:00;1017;687;7565;5893
08.01.2022 16:00 - 08.01.2022 17:00;1073;681;7449;5996
08.01.2022 17:00 - 08.01.2022 18:00;1361;674;7495;6046
08.01.2022 18:00 - 08.01.2022 19:00;1617;674;6813;5969
08.01.2022 19:00 - 08.01.2022 20:00;1657;671;5769;5796
08.01.2022 20:00 - 08.01.2022 21:00;1530;636;4642;5610
08.01.2022 21:00 - 08.01.2022 22:00;1352;643;3946;5454
08.01.2022 22:00 - 08.01.2022 23:00;1258;643;3444;5263
08.01.2022 23:00 - 09.01.2022 00:00;1261;638;3347;5125
09.01.2022 00:00 - 09.01.2022 01:00;1245;626;2889;4984
09.01.2022 01:00 - 09.01.2022 02:00;1353;625;2513;4876
09.01.2022 02:00 - 09.01.2022 03:00;1485;617;2328;4761
09.01.2022 03:00 - 09.01.2022 04:00;1469;588;2178;4730
09.01.2022 04:00 - 09.01.2022 05:00;1660;589;2133;4718
09.01.2022 05:00 - 09.01.2022 06:00;1862;593;2134;4720
09.01.2022 06:00 - 09.01.2022 07:00;1778;589;2223;4791
09.01.2022 07:00 - 09.01.2022 08:00;1691;593;2369;4911
09.01.2022 08:00 - 09.01.2022 09:00;1546;594;2776;5089
09.01.2022 09:00 - 09.01.2022 10:00;1157;618;3891;5271
09.01.2022 10:00 - 09.01.2022 11:00;1646;624;5448;5441
09.01.2022 11:00 - 09.01.2022 12:00;1890;631;6631;5515
09.01.2022 12:00 - 09.01.2022 13:00;1452;637;7032;5530
09.01.2022 13:00 - 09.01.2022 14:00;1300;643;7129;5519
09.01.2022 14:00 - 09.01.2022 15:00;1315;645;7214;5564
09.01.2022 15:00 - 09.01.2022 16:00;1141;651;7586;5624
09.01.2022 16:00 - 09.01.2022 17:00;988;644;7584;5624
09.01.2022 17:00 - 09.01.2022 18:00;1075;643;7601;5633
09.01.2022 18:00 - 09.01.2022 19:00;911;646;7564;5560
09.01.2022 19:00 - 09.01.2022 20:00;694;640;7513;5449
09.01.2022 20:00 - 09.01.2022 21:00;813;624;7484;5514
09.01.2022 21:00 - 09.01.2022 22:00;829;631;7369;5366
09.01.2022 22:00 - 09.01.2022 23:00;856;628;6997;5208
09.01.2022 23:00 - 10.01.2022 00:00;843;628;6559;4997
10.01.2022 00:00 - 10.01.2022 01:00;638;609;6367;4801
10.01.2022 01:00 - 10.01.2022 02:00;206;612;5665;4644
10.01.2022 02:00 - 10.01.2022 03:00;119;613;5509;4557
10.01.2022 03:00 - 10.01.2022 04:00;-134;617;5529;4543
10.01.2022 04:00 - 10.01.2022 05:00;5;624;6150;4609
